username,komentar
joelliea,"Login pake nomor hape yang SUDAH TERDAFTAR di Peduli Lindungi, ga bisa dan diminta register. Lanjut register dengan nomor hape YANG SAMA dan YANG SELAMA INI DIPAKAI untuk masuk ke Peduli Lindungi (ga pernah ganti nomor!), masuk ke Satu Sehat tapi NAMA TIDAK DITEMUKAN, NIK TIDAK DITEMUKAN (kapan saya pernah ganti nama dan ganti NIK padahal udah vaksin 3x toloong!). Logout dan coba login lagi dengan nomor hape yang sama .. diminta register lagi. Ini aplikasi Satu Sehat wajib diinstall ga sih? Wajib/perlu dipake? Kalo ga perlu, aku delete aja deh. Kok ribet mau login/daftar aja ??!!!"
soffi.septiana,Gabisa login sama sekali😢
peplizaza,"Sertifikat vaksin booster ke 2 ku gk masuk, gimana itu?"
triamayanti92,"Ga jelas bgt, malah ilang sertifikat nya boss"
ulfahnurra,"Plis kalo bikin aplikasi yg bagus ya pak bu, aplikasi masih banyak bug jangan di rilis duluuu👍👍👍👍"
ep98124,"Saya pengguna IOS. Sertifkat Vaksin booster tercantum dalam aplkasi. Namun, ketika diunduh, hanya Booster 1 yang ada. Kok ga sinkron aplikasi ini? Aplikasi sebelumnya jauh lebih baik. Mohon info. Saya sudah coba unduh berkali-kali, namun tetap booster 1 yanb terlihat. Ada baiknya dilakukan trial and error sebelum launching aplikasi. Terlalu banyak orang yang complain akan hal ini, termasuk saya"
scmayesty,Mau login tulisannya terjadi kesalahan.
maycat.id,"Habis updated ke SatuSehat vaksin sertifikatnya masih ada semua tapi habis di download dicari di file kaga ada, kalo pas PeduliLindungi hbs download langsung ada, fyi saya iphone user, help min"
octaviana.yaaa,"Ganti nomor lama ke baru, lama banget yaa miin minimal 14 kerja atau apalah biar setidaknya ga nanya mulu tiap hari"
rahayuwiwin91,Kartu imunisasi anak dimana ya min? Punya anankku ko hilang? Tiket booster 2 juga hilang min..
stephennugroho_2194,Kok Gak Ada Ya E Tiket Vaksinasi Covid-19 Booster Keduanya..??
ade.rachmawati61,Disitu saya buka harus isi2 data pribadi  lagi ya  ikuti sesuai perintah ada isian termasuk isi nik juga
framesta05,Mohon maaf nih ya saya kan mau unduh sertifikat vaksin nya tapi kok ngga langsung masuk ke galeri atau cara lihat hasil yg di unduh ny itu dimana ya ?
djd.2702,"Kenapa jadi berubah data vaksin saya di akun satu sehat ini, min? Kacau semua, bisa²nya saya jadi 5x vaksin pdhl nyatanya 4x. Ada data vaksin ke 3 yg salah (gak prnh saya lakukan)."
edoysf_,Woii gw mau pulkam gimna ini. Sertifikat ga munculllllll @pedulilindungi.id
milana.lau,"Setelah diupdate, nama di serfitikatnya malah berubah jadi nama orang lain...gimana coba 😂😂"
wahyu.wp2994,@pedulilindungi.id gimana ya ngrubah data kalo costumer servise nya tetep belum bisa melayani
srahayuningsih,Done dah update dan ganti jadi satusehat
arintyo,"Setelah update Tiket vaksin bosster ke 2 Hilang min, tadinya sebelum di update aplikasi Peduli lindungi itu ada"
una__chusna,Min saya sudah bisa log in tp yg muncul di profil nama suami saya.. Tapi tgl lahir sama nik isinya punya saya... Gimana ya min?? Mohon bantuannya @pedulilindungi.id
lutfia3_0.0,gk bisa login sama sekali. semoga sertivikat vaksin dan tiket vaksin boster ke 2 gk ilang.
anyu601,"Setelah upgrade ke SatuSehat ada kesalahan data. Coba menghubungi CS via WA, Telp, dan Email, semuanya tidak mendapat respon. Mohon tanggapannya."
alilaatmaja,"Setelah jadi satusehat aplikasinya malah freeze , stuck di halaman awal ga bisa dibuka"
fitrihrynii,"Setelah di update sertifikat vaksin 2 dan 3 nya ga ada cuman ada ""sudah vaksin booster pertama"""
fetri18,Otpnya gak dikirim kirim😢
cristianustrie,"Masuk aplikasi input no hp hrs daftar, sdh daftar data already register terus saja berulang2 😢"
foszila,Masih bingung caranya tambah sertifikat
pituturku,Aq dah bisa buka...bagus dan cepat ...semua vaksin ku sampe boster 2 muncul
fajarmaulana_8,saya sudah login dengan akun yang benar ke aplikasi satu sehat tapi kenapa tulisannya silahkan register terlebih dahulu. padahal saya login menggunakan akun peduli lindungi yg terdahulu.
anna.rizkyra,waktu di aplikasi peduli lindungi udh pernah pembaruan nama sesuai KTP...sekarang kok balik lagi... trs cara betulin nama biar sesuai KTP bagaimana??? soalnya gak ada jawaban semua ini
prasetyaagri,Dulu msih cepet kode otp ny di SMS. Sekarang malah ga ada SMS ny. No dh pake no yg dlu
pin_ka_dolphin,"Yok kasih penjelasan buat instal sertifikat vaksin, gausah banyak belibet"
wicaak_sana,"Terima kasih sangat membantu, yang ingin tau cara liat sertifikat vaksin bisa lihat di reels saya 👍"
nurmya89,"Hai kk, aku ada update peduli lindungi, masuk dgn no HP, tp kok gk bisa msk ya?"
veni_ros22,"Untuk liat sertifikat vaksinnya ada dimana ya di aplikasi itu, ko saya nyari2 ga ketemu"
ivnyyo,Tapi kok  no ticket booster kedua q gak ada ya.  Pdhl apk sblumnya  ada
panas_ter1k,Sya dh hpus.dh ga guna.. akun saya dl sama nomor hpnya sama anak dan kakek..skrng cma muncul anak sya.. punya saya dan kakek sya entah kmana.
lupiyan67,Saya udah vaksin boster pertama tapi kok di sini gek muncul ya mohon perbaikannya 🤝
vevijunistina17,Udh d update malah ga bisa d buka...
supry579,Tiket boster ke dua hilang
riskairawan88,Saya masuk pakai nomor tlp dan email tapi keterangan silahlan registrasi. Nah pas registrasi eror nohp atau email sudah terdaftar. Hubungi call center wa ga respons2. Artinya secara implementasi belum siap ini.
heranawan011203,"Maaf sebelum nya yg tau tentang aplikasi peduli lindungi, saya kan mau ganti nomor di karenakan nomor yg lama kartunya udh gx ada, trs saya mau ganti nomor yg baru tapi ko ngga bisa login"
mikowidiatmoko,"udah login pake no hp sendiri yg terdaftar d peduli lindungi tp munculnya profil orang lain & data sertifikat orang lain juga, padahal sebelumnya udah sesuai yg d aplikasi peduli lindungi, gimana ini min.....apa aplikasinya blm siap😂😂"
subuh_12,Di android gak bisa di buka
asnal_muza,"Habis update, Gk bisa login masseh"
